category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-04-05T12:51:18.158Z"
"Metadata","Contract Address","0x6982508145454ce325ddbe47a25d4ec3d2311933","2026-04-05T12:51:18.158Z"
