category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-02-23T12:52:30.439Z"
"Metadata","Contract Address","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","2026-02-23T12:52:30.439Z"
