category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-02-23T13:01:44.848Z"
"Metadata","Contract Address","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","2026-02-23T13:01:44.848Z"
