category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-02-23T13:54:58.118Z"
"Metadata","Contract Address","0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7","2026-02-23T13:54:58.118Z"
