category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-02-04T23:57:29.499Z"
"Metadata","Contract Address","0x7D335d06F3F002623850E108Ba4A9F025d8468e7","2026-02-04T23:57:29.499Z"
