category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-02-05T21:42:31.957Z"
"Metadata","Contract Address","0x7D335d06F3F002623850E108Ba4A9F025d8468e7","2026-02-05T21:42:31.957Z"
