category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-04-02T20:39:52.799Z"
"Metadata","Contract Address","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","2026-04-02T20:39:52.799Z"
