category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-02-23T14:03:58.925Z"
"Metadata","Contract Address","0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984","2026-02-23T14:03:58.925Z"
